reference_id,raid_reference_file,raid_distorted_file,tid2013_test_file,raid_gn_level,tid2013_gn_level,raid_mlds_curve_value,raid_mlds_sigma,raid_jod_distortion,tid2013_mos,tid2013_jod_quality,tid2013_jod_distortion
14,img_14.png,gn_img_14_level_02.png,i14_01_2.png,2,2,0.1843415,0.3715998,0.7354824885860539,5.69444,-0.442676483,0.442676483
14,img_14.png,gn_img_14_level_03.png,i14_01_3.png,3,3,0.304592,0.3715998,1.2152555316989038,4.77778,-1.155038058,1.155038058
14,img_14.png,gn_img_14_level_05.png,i14_01_4.png,5,4,0.6974233,0.3715998,2.7825671175201543,4.31429,-1.581711137,1.581711137
14,img_14.png,gn_img_14_level_10.png,i14_01_5.png,10,5,1.0,0.3715998,3.9897819043472142,3.75,-2.341041722,2.341041722
15,img_15.png,gn_img_15_level_02.png,i15_01_2.png,2,2,0.2620741,0.2719882,1.4285606263399635,5.06818,-0.826637879,0.826637879
15,img_15.png,gn_img_15_level_03.png,i15_01_3.png,3,3,0.4906022,0.2719882,2.67426302545832,4.95556,-1.149786798,1.149786798
15,img_15.png,gn_img_15_level_05.png,i15_01_4.png,5,4,0.6958332,0.2719882,3.79297239024947,4.27907,-1.73167764,1.73167764
15,img_15.png,gn_img_15_level_10.png,i15_01_5.png,10,5,1.0,0.2719882,5.450979794624251,3.91111,-2.438449501,2.438449501
16,img_16.png,gn_img_16_level_02.png,i16_01_2.png,2,2,0.310577,0.2644944,1.7409145204336145,5.65,-1.084884172,1.084884172
16,img_16.png,gn_img_16_level_03.png,i16_01_3.png,3,3,0.5022106,0.2644944,2.815101340603041,5.02632,-1.442137198,1.442137198
16,img_16.png,gn_img_16_level_05.png,i16_01_4.png,5,4,0.7814143,0.2644944,4.380155516286395,4.15385,-2.249447722,2.249447722
16,img_16.png,gn_img_16_level_10.png,i16_01_5.png,10,5,1.0,0.2644944,5.605420985123762,3.94872,-2.867768439,2.867768439
17,img_17.png,gn_img_17_level_02.png,i17_01_2.png,2,2,0.1283841,0.3020652,0.6301373740319132,5.21053,-0.718123657,0.718123657
17,img_17.png,gn_img_17_level_03.png,i17_01_3.png,3,3,0.4011322,0.3020652,1.968843855097792,5.05128,-1.035184282,1.035184282
17,img_17.png,gn_img_17_level_05.png,i17_01_4.png,5,4,0.7361823,0.3020652,3.613344753261987,4.38462,-1.556243221,1.556243221
17,img_17.png,gn_img_17_level_10.png,i17_01_5.png,10,5,1.0,0.3020652,4.90821987886041,3.87179,-2.132913539,2.132913539
18,img_18.png,gn_img_18_level_02.png,i18_01_2.png,2,2,0.1558817,0.3029829,0.7627841636591689,5.41463,-0.544721842,0.544721842
18,img_18.png,gn_img_18_level_03.png,i18_01_3.png,3,3,0.3664088,0.3029829,1.7929672017231275,4.85,-1.274311396,1.274311396
18,img_18.png,gn_img_18_level_05.png,i18_01_4.png,5,4,0.6215472,0.3029829,3.0414502213022914,4.46341,-1.49070766,1.49070766
18,img_18.png,gn_img_18_level_10.png,i18_01_5.png,10,5,1.0,0.3029829,4.893353826415454,4.0,-2.286826379,2.286826379
19,img_19.png,gn_img_19_level_02.png,i19_01_2.png,2,2,0.2792719,0.3149067,1.314830951459508,5.10811,-0.684196976,0.684196976
19,img_19.png,gn_img_19_level_03.png,i19_01_3.png,3,3,0.5008254,0.3149067,2.3579201900957796,4.60526,-1.186667641,1.186667641
19,img_19.png,gn_img_19_level_05.png,i19_01_4.png,5,4,0.7416551,0.3149067,3.491762475731216,4.13514,-1.568715376,1.568715376
19,img_19.png,gn_img_19_level_10.png,i19_01_5.png,10,5,1.0,0.3149067,4.708067096759934,3.56757,-2.104535636,2.104535636
20,img_20.png,gn_img_20_level_02.png,i20_01_2.png,2,2,0.211424,0.3470655,0.9031659855808122,5.51282,-0.498032572,0.498032572
20,img_20.png,gn_img_20_level_03.png,i20_01_3.png,3,3,0.4504006,0.3470655,1.92403220304346,4.92105,-1.031693246,1.031693246
20,img_20.png,gn_img_20_level_05.png,i20_01_4.png,5,4,0.7063747,0.3470655,3.017507678075644,4.4359,-1.574324632,1.574324632
20,img_20.png,gn_img_20_level_10.png,i20_01_5.png,10,5,1.0,0.3470655,4.27182325478241,3.78378,-2.155900268,2.155900268
21,img_21.png,gn_img_21_level_02.png,i21_01_2.png,2,2,0.2056871,0.4004449,0.7615334404276377,5.06977,-1.108465449,1.108465449
21,img_21.png,gn_img_21_level_03.png,i21_01_3.png,3,3,0.4679615,0.4004449,1.7325748829545204,4.48837,-1.558846202,1.558846202
21,img_21.png,gn_img_21_level_05.png,i21_01_4.png,5,4,0.7395107,0.4004449,2.7379556167653205,3.90698,-2.242689373,2.242689373
21,img_21.png,gn_img_21_level_10.png,i21_01_5.png,10,5,1.0,0.4004449,3.702388359903215,3.48837,-2.580167107,2.580167107
22,img_22.png,gn_img_22_level_02.png,i22_01_2.png,2,2,0.2003474,0.3318796,0.8950097459961475,5.23684,-0.678450301,0.678450301
22,img_22.png,gn_img_22_level_03.png,i22_01_3.png,3,3,0.4397981,0.3318796,1.964704429703724,4.84615,-1.017884997,1.017884997
22,img_22.png,gn_img_22_level_05.png,i22_01_4.png,5,4,0.7176148,0.3318796,3.205792229416982,4.15789,-1.538436775,1.538436775
22,img_22.png,gn_img_22_level_10.png,i22_01_5.png,10,5,1.0,0.3318796,4.467288048667969,3.71795,-2.138869489,2.138869489
23,img_23.png,gn_img_23_level_02.png,i23_01_2.png,2,2,0.3017203,0.3577454,1.2504178154743135,5.05714,-0.9183545,0.9183545
23,img_23.png,gn_img_23_level_03.png,i23_01_3.png,3,3,0.4570586,0.3577454,1.8941859377827237,4.76471,-1.256274096,1.256274096
23,img_23.png,gn_img_23_level_05.png,i23_01_4.png,5,4,0.7086944,0.3577454,2.937037960064034,4.08571,-2.077401602,2.077401602
23,img_23.png,gn_img_23_level_10.png,i23_01_5.png,10,5,1.0,0.3577454,4.144294259753213,3.73529,-2.628580302,2.628580302
24,img_24.png,gn_img_24_level_02.png,i24_01_2.png,2,2,0.2110125,0.3039196,1.0293765024570916,5.05556,-0.722135253,0.722135253
24,img_24.png,gn_img_24_level_03.png,i24_01_3.png,3,3,0.4614591,0.3039196,2.2511224218879473,4.72222,-1.133859476,1.133859476
24,img_24.png,gn_img_24_level_05.png,i24_01_4.png,5,4,0.6757646,0.3039196,3.296563067642769,4.14286,-1.590259144,1.590259144
24,img_24.png,gn_img_24_level_10.png,i24_01_5.png,10,5,1.0,0.3039196,4.8782713140465965,3.58333,-2.209847239,2.209847239
